dbabe54657649407|TC Neufeld (indoor)|46.960866|7.433664
8795ea4caa1232bb|TC Neufeld (outdoor)|46.960851|7.433664
5fb4dbac0c393f69|TC Neufeld (in-|46.960851|7.433664
7f2ded2edfceb9de|Tessin|46.365884|8.79364
c3dd14d8792b8b37|TH Gäbelbach|46.949339|7.376286
4e873c8d2ebeff47|TH Länggasse|46.957498|7.432977
00c037db6762d8ea|TH Monbijou|46.943612|7.437676
0a661d4553b2bcda|TH Muesmatt|46.952269|7.42905
9978d42080c1476e|TH Spitalacker|46.954349|7.453662
0f894a8790c4abd7|TH Stiftung Steinhölzli|46.93233|7.427505
29fda56ffb6a4b3e|Theoriezimmer B, ZSSw|46.962404|7.431861
4d31e32f57d956cf|Tödi|46.811192|8.914887
6557eab78aab2182|Trainingszentrum Magnet|46.921267|7.370063
ba3c17bdd5dfa838|Treffpkt Eingang Gebäude B, ZSSw|46.962404|7.431861
d270142a770b4986|Treffpkt Eing. ZSSw|46.962404|7.431861
023606ec56b79022|Treffpkt Heiliggeistkirche|46.948065|7.440809
75a8153fa002e685|Treffpkt Curlinghalle Bern|46.957981|7.466837
567de4f20fa1c1ab|Trotzigplanggstock|46.764236|8.474443
173a750e643addb2|Turnhalle B|46.962404|7.431861
fc20a9e9ba95ff88|Umgebung Bern|46.962404|7.431861
6125404573358f57|Uni Hauptgebäude, Veloständer|46.950467|7.438191
2bb729d341c57aa2|UniS Training Center|46.950335|7.435809
d997e5b82c4df865|Viento Sur|46.953909|7.430681
e98103dd7207ae45|Wassersportanlage Ipsach|47.117614|7.223443
9f791b593f4408ac|Wildstrubel|46.400388|7.528635
5add7d8e42071eac|Wohlensee|46.964439|7.324691
bd450da904133d97|Worblaufen|46.97463|7.485952
4cf274a7dfdb4b7d|ZSSw|46.962404|7.431861
4251685e06cab635|Zürich|47.368885|8.539281
778f8dc688620ee8|Zürich oder St. Gallen|0|0
